# XLAMB2	YLAMB2
281825.400	2417432.400
281776.700	2417474.300
281753.600	2417438.100
281736.000	2417473.400
281685.400	2417493.700
281635.600	2417469.100
281591.700	2417510.900
281583.800	2417539.200
281592.900	2417558.600
281626.700	2417554.400
281637.900	2417585.500
281637.000	2417623.600
281585.100	2417698.700
281480.500	2417870.200
281389.600	2417972.900
281405.700	2418001.700
281436.800	2418004.800
281357.900	2418107.900
281359.400	2418148.200
281392.100	2418177.600
281470.100	2418221.900
281488.000	2418267.500
281521.100	2418289.600
281569.600	2418266.900
281620.200	2418251.300
281588.500	2418172.200
281605.500	2418063.100
281641.600	2418054.400
281658.100	2417959.500
281813.900	2417943.700
281818.600	2418058.100
281849.300	2418070.400
281927.600	2417989.000
281935.000	2417986.800
281937.500	2418089.000
281985.000	2417997.200
282017.000	2418017.200
282084.500	2417914.900
282099.100	2417944.200
282162.300	2417960.900
282145.300	2418011.100
282120.000	2418063.100
282136.700	2418073.600
282166.400	2418031.800
282200.000	2418025.600
282242.200	2417984.100
282248.500	2418007.000
282237.800	2418086.400
282288.200	2418147.000
282324.000	2418151.200
282351.400	2418149.900
282368.300	2418149.100
282368.000	2418193.000
282309.000	2418220.100
282273.300	2418215.800
282258.400	2418238.900
282228.800	2418242.900
282237.400	2418259.700
282310.900	2418270.100
282321.400	2418287.000
282359.300	2418276.500
282384.600	2418251.500
282403.800	2418236.900
282409.800	2418274.500
282437.300	2418270.400
282431.000	2418215.900
282454.400	2418197.200
282452.200	2418172.300
282425.000	2418161.800
282420.700	2418149.300
282458.700	2418134.600
282530.500	2418099.200
282669.300	2418103.400
282784.900	2418162.100
282822.700	2418191.300
282852.200	2418262.300
282843.500	2418304.200
282856.100	2418360.500
282865.800	2418368.200
282923.500	2418412.900
282900.000	2418494.500
282982.200	2418431.700
283072.900	2418421.400
283079.200	2418471.700
283081.200	2418452.900
283106.300	2418486.300
283152.800	2418473.700
283220.100	2418486.400
283257.900	2418522.000
283291.700	2418501.000
283342.000	2418534.400
284050.900	2418709.500
285395.900	2418650.400
285973.700	2419633.900
286078.500	2418858.800
286570.100	2418564.300
287179.600	2418747.100
287869.200	2418204.600
288654.500	2418752.300
288610.400	2418785.300
288607.600	2418804.600
288607.600	2418865.100
288621.500	2418900.900
288662.700	2418873.400
288684.700	2418878.900
288712.200	2418898.200
288728.700	2418989.000
288742.400	2419008.200
288764.600	2419024.800
288763.300	2419053.900
288761.700	2419088.000
288758.900	2419110.000
288679.200	2419228.400
288709.500	2419283.400
288726.000	2419324.700
288728.700	2419355.000
288739.700	2419368.700
288770.100	2419344.000
288792.100	2419333.000
288800.300	2419346.800
288814.100	2419368.700
288844.300	2419399.000
288844.300	2419448.600
288855.300	2419525.600
288866.300	2419547.600
288904.800	2419564.100
288959.900	2419566.900
289053.500	2419558.600
289100.200	2419536.600
289152.500	2419434.800
289177.200	2419393.500
289213.100	2419357.700
289237.800	2419275.100
289273.600	2419266.900
289298.300	2419277.900
289342.400	2419324.700
289402.900	2419385.200
289438.700	2419396.200
289477.200	2419399.000
289507.500	2419418.200
289537.800	2419426.600
289592.800	2419390.700
289612.000	2419344.000
289612.000	2419308.200
289601.000	2419203.600
289603.800	2419156.900
289625.800	2419110.100
289719.400	2419046.800
289980.800	2419022.000
290002.800	2419027.500
290024.800	2419101.800
290057.800	2419137.500
290107.400	2419167.900
290129.400	2419192.600
290137.700	2419242.100
290302.700	2419352.200
290360.600	2419399.000
290349.500	2419410.000
290335.700	2419423.700
290344.000	2419440.300
290388.100	2419451.300
290421.100	2419470.600
290421.100	2419503.600
290407.300	2419525.600
290412.800	2419547.700
290429.300	2419588.900
290434.800	2419632.900
290418.300	2419671.400
290470.600	2419671.400
290558.700	2419654.900
290594.400	2419624.700
290641.300	2419613.700
290696.300	2419610.900
290734.800	2419602.700
290825.600	2419495.300
290858.600	2419487.100
290908.100	2419492.600
290946.700	2419520.100
290966.000	2419566.900
291004.500	2419588.900
291010.000	2419616.400
291051.200	2419679.700
291078.800	2419707.300
291139.300	2419789.800
291180.600	2419814.500
291238.400	2419828.200
291260.400	2419850.400
291271.400	2419894.500
291287.900	2419938.300
291331.900	2419960.300
291367.800	2419960.300
291406.300	2419988.000
291442.000	2420040.200
291450.300	2420125.600
291431.000	2420172.300
291417.300	2420213.500
291447.500	2420246.500
291480.500	2420246.500
291519.100	2420221.800
291579.600	2420177.800
291609.800	2420172.300
291684.200	2420177.800
291788.700	2420216.300
291852.000	2420268.600
291934.500	2420329.100
292047.400	2420422.700
292179.500	2420477.700
292231.800	2420598.800
292245.600	2420708.900
292253.800	2420783.200
292295.100	2420841.000
292319.800	2420857.500
292355.600	2420852.000
292380.400	2420830.000
292383.200	2420796.900
292372.200	2420747.400
292361.100	2420703.400
292366.600	2420623.600
292380.400	2420574.100
292405.200	2420535.500
292413.400	2420499.700
292410.700	2420472.200
292377.700	2420450.200
292344.600	2420417.200
292339.100	2420381.400
292339.100	2420353.900
292303.300	2420309.900
292303.300	2420276.900
